ID,Param1,Param2,Param3,Param4,Param5,Param6
1,40,17,170000,4,3,4
2,49,27,110000,2,1,1
3,46,17,80000,5,5,3
4,44,20,145000,4,4,4
5,31,5,30000,9,8,2
6,49,27,80000,0,1,3
7,51,28,60000,3,3,4
8,50,28,65000,1,1,4
9,35,14,60000,3,5,4
10,35,14,160000,3,3,2
11,32,10,145000,4,4,2
12,28,8,100000,3,3,3
13,38,12,80000,9,3,3
14,32,10,200000,3,6,1
15,28,8,40000,2,1,2
16,31,15,305000,15,13,2
17,43,13,160000,5,6,4
18,40,15,160000,4,3,4
19,28,5,60000,2,2,3
20,29,1,20000,3,5,2
21,38,16,70000,3,3,1
22,39,17,185000,6,5,4
23,25,2,80000,0,1,2
24,24,1,40000,0,1,3
25,21,1,10000,1,2,3
26,42,19,80000,2,2,3
27,43,7,130000,3,5,4
28,31,7,60000,10,6,3
29,30,7,40000,1,3,3
30,26,7,70000,2,4,3
31,38,14,155000,4,4,4
32,30,11,85000,3,4,3
33,26,1,20000,1,4,3
34,28,5,20000,1,1,1
35,26,4,60000,2,4,3
36,55,35,120000,3,5,3
37,28,5,60000,2,4,3
38,28,5,90000,2,4,4
39,25,2,75000,2,3,4
40,34,15,160000,5,6,4
41,46,20,145000,3,3,4
42,25,1,40000,0,2,3
43,31,12,95000,3,5,4
44,25,1,20000,0,1,4
45,32,10,145000,4,4,4
46,29,9,60000,3,3,4
47,42,23,120000,4,4,4
48,35,15,130000,4,4,3
49,31,8,120000,2,4,3
